107.60640	4353668	
110.17939	5350164	
116.23135	4036697	
147.04672	4733155	
150.64731	4038836	
150.64890	19693108	
150.84954	6174090	
154.24937	5046063	
154.25107	26312192	
154.45178	8753716	
242.07742	7876588	
245.40684	4484775	
251.41122	6398893	
257.41475	9064490	
352.04648	17971220	
354.09861	5509254	
369.07407	3932625	
370.05675	8781036	
370.08327	5151412	
370.09341	60469688	
371.09722	6093736	
376.61893	5003158	
381.06223	4083433	
381.07325	5138973	
385.62413	6291628	
396.09245	8613601	
397.06781	9417857	
398.08834	359026528	
398.24135	15286345	
399.08039	6312515	
399.09197	51109700	
400.09331	6140606	
405.10125	11523212	
409.06796	23265482	
410.08819	15560367	
414.09432	18004026	
415.11472	10054462	
416.09867	9850040	
426.09439	34169084	
427.07912	11171110	
427.10346	16876072	
437.09924	13902108	
438.08335	13420216	
444.10527	12794687	
445.11306	7438687	
453.11441	7749289	
455.10984	329603776	
456.09914	6592244	
456.11352	56895860	
457.11616	7427118	
465.13034	13232433	
467.10998	3994701	
472.13646	20737130	
473.12063	15497330	
473.13970	4491698	
479.10968	21490898	
483.10338	4960526	
493.12550	23405044	
494.12994	5099153	
496.13655	21535896	
497.12038	22007230	
498.12435	3952188	
504.10526	7888333	
505.11257	4232488	
506.12060	7052950	
507.10513	14114344	
508.13641	10693472	
511.14761	6319998	
512.13107	8024152	
514.14729	21094606	
515.15105	4908376	
518.12087	9432993	
522.13628	8296166	
523.14849	12384704	
524.13130	368255936	
525.13490	78600816	
526.13579	10453715	
534.11570	66709676	
534.16204	5444108	
535.12040	13694700	
535.14762	17764990	
536.11012	9035040	
536.13142	123580464	
537.13495	28165998	
540.14598	5615516	
541.15941	7729239	
542.14189	226194560	
543.14520	48947496	
544.14764	7112975	
545.13203	3941925	
546.11597	16114163	
547.11904	3948810	
548.13168	15136543	
550.14666	14336299	
551.14162	22065052	
552.16076	6485875	
553.13541	10137956	
553.15800	119801968	
554.14221	59958972	
555.14484	13327050	
561.14638	4228789	
562.15792	4011769	
563.14227	167769488	
564.14477	38759260	
565.13321	5008777	
565.16109	7799073	
568.16942	19343214	
569.15292	14153691	
570.17327	28325314	
571.16777	19448332	
572.17075	5534595	
579.15730	12999439	
580.16961	39005656	
581.15279	518158912	
582.13163	9020963	
582.15597	123360936	
582.17361	132125352	
583.14994	11991536	
583.17569	32254962	
584.17571	7924843	
591.13750	6096932	
596.16451	7003564	
597.16752	12073214	
598.17950	170492032	
599.16334	481220608	
599.19011	56999944	
600.13968	8045198	
600.16637	117003144	
600.19385	12692102	
601.16864	19036930	
609.14791	13262227	
609.18459	4466574	
610.16830	8793719	
616.18999	36515932	
617.19272	8847390	
618.18257	4749513	
619.16889	4415164	
623.19998	16183064	
624.20321	4851194	
626.17260	5216741	
627.16481	15207917	
627.19475	156200688	
628.19785	44931556	
629.19998	9224937	
630.18337	7496830	
636.19506	5957871	
637.17792	5224867	
640.19088	4234479	
646.17904	9299952	
647.20947	4638346	
648.19504	39471408	
649.19912	11590907	
650.17419	8545366	
651.16419	4211285	
651.19503	43879912	
652.19734	14252808	
653.19794	4299109	
656.20014	4461593	
658.17789	10369317	
660.19506	11376739	
661.22603	12654066	
662.23559	4133512	
663.20603	5573746	
664.18900	18562416	
665.22131	12838735	
666.20436	16042772	
668.22219	20635508	
669.20377	11083359	
669.23149	6070967	
673.22722	8360027	
675.20635	15212853	
676.15590	5047621	
676.18943	63467880	
676.22223	7693189	
677.19285	21152814	
678.20588	32009228	
679.18748	32136394	
679.21897	9425640	
680.19225	9588579	
681.22937	6639554	
682.19925	8979806	
683.23232	5021048	
684.21597	52056612	
685.21948	16470660	
686.22515	4020801	
689.22186	8406358	
690.20528	37459216	
691.23583	15761394	
692.24329	5744438	
693.21641	29817932	
694.19817	33450476	
694.23041	9796618	
695.23152	13715114	
696.18046	8112915	
696.21605	114718008	
697.21885	36174532	
698.22422	7633260	
705.21502	8793250	
706.19885	20625046	
707.19554	8544768	
707.23225	115435800	
708.21404	132940768	
708.24851	30487546	
709.21812	43895204	
710.22113	8289295	
711.22731	17282022	
712.23233	5069408	
714.22670	19071232	
715.22947	7177258	
717.21569	13364384	
718.16226	6600668	
718.20006	86915824	
719.20319	29152418	
720.20504	6675576	
721.23248	5123764	
722.23685	4929992	
723.22694	257826352	
724.19184	6921017	
724.22977	85725504	
724.26764	9601100	
725.24286	307685440	
726.18704	9521393	
726.21951	84405496	
726.25381	80302336	
727.22459	29641634	
727.25899	15519143	
728.22753	7965038	
729.23757	7275226	
733.23290	11294428	
734.23530	13277045	
735.22719	693756608	
736.19544	45554264	
736.23266	224762448	
737.20058	14394850	
737.23641	46041052	
738.23976	5846987	
741.23594	16380037	
743.25337	213818624	
744.21551	5240180	
744.25639	71271912	
745.25850	15164979	
751.24243	36579304	
752.24551	45761840	
752.95179	4007278	
752.97446	4187108	
753.23779	2374786560	
754.24085	852032640	
755.24313	189753008	
756.24545	26093492	
763.56534	10288353	
769.25318	54634284	
770.25620	64552620	
770.90314	4161675	
770.94849	5201389	
770.97161	5380831	
770.99458	7092176	
771.24829	3392468480	
771.48421	71475088	
772.25135	1282438016	
772.48749	30228994	
773.25356	293675264	
773.49007	7184374	
774.25565	42255484	
779.08430	9441913	
