145.87782	466052
147.56194	459825
152.50658	467148
156.09062	476252
160.41438	473596
166.71748	678786
166.84960	475057
166.98203	461275
168.10293	467067
168.83452	514272
169.25926	460832
171.60659	511032
173.40518	482680
173.49638	1334121
176.39419	493874
176.61777	495731
177.14614	461618
178.71021	486185
180.62475	548389
182.94677	486069
183.23547	474204
187.53559	542694
188.80090	471156
192.88353	496695
201.14744	463070
201.27314	486392
204.38715	464616
212.95527	471011
215.06313	467438
217.68470	488861
222.28989	877623
227.63971	507437
233.40420	511407
240.79996	479795
259.33790	597870
267.34521	498297
268.53280	482812
271.19098	494165
273.83573	516433
288.34520	8333737
288.43387	659184
314.54917	496897
320.72109	496501
327.67332	520989
359.08249	597069
362.16657	643030
373.20789	516382
392.26059	789125
400.41039	522702
410.27122	2751846
411.27478	659386
456.20891	531771
474.21885	1003357
475.51963	540809
485.26019	805446
540.82618	550332
581.30296	8335729
582.30609	1796334
583.50842	571854
586.27134	925993
586.28233	547874
604.29278	1418559
615.57143	557975
619.34080	547487
629.33340	719196
698.33381	568096
716.34510	1582754
728.31753	682939
768.27523	658879
769.32068	937761
770.29200	703804
770.32801	3195132
771.33149	692114
790.36982	639226
828.39717	2167753
828.40894	1745508
829.40001	845837
830.36403	618254
834.35901	1529086
846.41911	1561617
850.38964	604370
910.33782	738961
914.38447	911917
916.37986	744972
916.40089	2203687
928.34914	729240
940.34872	1708363
940.46053	1997548
942.36433	760325
942.39420	681976
942.41528	844768
957.33359	789520
957.38811	688325
957.40799	666051
957.42681	1519500
957.46476	789506
957.50195	845393
958.35868	1796303
958.37557	2200603
958.39035	3214067
958.41115	7371592
958.44860	2029096
958.47065	6179610
