212.03184	2953053
288.34533	7368367
401.07436	38004924
401.07661	2926200
402.07772	8911388
513.26825	2728492
538.17188	8368614
556.18245	7025117
559.27368	4714629
588.10115	2545453
589.10456	7746677
590.11685	16323777
591.12025	5855011
650.22424	3096959
653.23523	4846989
717.26638	2945206
735.27715	11033383
736.28025	3820452
761.25616	3494851
762.28792	11282197
763.27202	4346566
763.29162	3742839
764.30351	2799410
778.14715	5868917
778.25443	5856134
778.28308	6036425
778.30318	7734649
778.36409	5646371
778.38231	3613177
778.39251	4652433
778.41699	2682404
778.53676	3799081
779.15920	3443240
779.26683	25408422
779.28669	2990727
779.30681	3074930
779.33630	3619004
779.34358	2567519
779.37948	7003848
779.39742	3392295
779.41858	2608920
779.51256	3953882
780.27020	9679001
780.28037	3159000
780.28517	4841266
780.29006	10005764
780.29850	155517312
